"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Kerala","Kollam","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-08",2009,4,25.54105189,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-09",2009,4,0.517599246,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-10",2009,4,0.03519313,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-11",2009,4,28.55624395,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-12",2009,4,9.841409068,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-13",2009,4,6.222989741,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-14",2009,4,5.763293853,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-15",2009,4,0.584719507,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-18",2009,4,1.488686254,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-21",2009,4,4.63176179,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-22",2009,4,0.084157204,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-23",2009,4,0.196193868,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-26",2009,4,19.51356019,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-27",2009,4,6.575884133,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-28",2009,4,0.545998893,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-29",2009,4,0.506077597,"IMD GRID MODEL"
"Kerala","Kollam","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-01",2009,8,3.028526936,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-02",2009,8,14.178151,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-03",2009,8,1.651543845,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-04",2009,8,3.108993064,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-05",2009,8,2.162313614,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-06",2009,8,0.624155167,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-07",2009,8,26.73403916,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-08",2009,8,0.729493403,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-09",2009,8,0.028082765,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-11",2009,8,4.031597265,"IMD GRID MODEL"
"Kerala","Kollam","2009-08-12",2009,8,4.301074971,"IMD GRID MODEL"
