"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Kra Daadi","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-04",2009,4,2.931254193,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-05",2009,4,2.962036197,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-06",2009,4,0.992411881,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-07",2009,4,3.76e-05,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-17",2009,4,0.000150464,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-18",2009,4,0.000327796,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-19",2009,4,0.006085944,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-20",2009,4,0.501741057,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-23",2009,4,0.042728085,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-25",2009,4,6.587201591,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-26",2009,4,0.01912334,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-27",2009,4,0.497937396,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-28",2009,4,5.660640979,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-29",2009,4,16.36154681,"IMD GRID MODEL"
"Arunachal Pradesh","Kra Daadi","2009-04-30",2009,4,32.7780931,"IMD GRID MODEL"
