"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Kulgam","2009-04-02",2009,4,0.066734907,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-03",2009,4,5.324738907,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-05",2009,4,0.342230031,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-06",2009,4,0.028251177,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-17",2009,4,0.030897005,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-18",2009,4,3.071131768,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-19",2009,4,13.24967613,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-23",2009,4,8.995317705,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-24",2009,4,5.067474892,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-26",2009,4,5.206342022,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-27",2009,4,15.33870234,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-28",2009,4,9.887958938,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-29",2009,4,0.534226313,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-01",2009,8,8.459893629,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-02",2009,8,0.184807517,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-03",2009,8,1.437254474,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-07",2009,8,0.3354634,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-09",2009,8,0.302786445,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-10",2009,8,3.222430752,"IMD GRID MODEL"
"Jammu & Kashmir","Kulgam","2009-08-12",2009,8,0.013396234,"IMD GRID MODEL"
