"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Kupwara","2009-04-02",2009,4,0.102539089,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-03",2009,4,1.149426823,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-05",2009,4,1.536318512,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-17",2009,4,0.766512408,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-18",2009,4,2.373975346,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-19",2009,4,9.551242312,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-23",2009,4,3.185140952,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-24",2009,4,4.124085776,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-26",2009,4,9.232303344,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-27",2009,4,7.347913716,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-28",2009,4,2.779512284,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-01",2009,8,5.020155626,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-02",2009,8,0.201034119,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-03",2009,8,3.331515572,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-07",2009,8,0.164304134,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-10",2009,8,0.029160349,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-12",2009,8,3.122159246,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-16",2009,8,0.473700307,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-20",2009,8,26.44612425,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-22",2009,8,0.915955279,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-23",2009,8,0.064615657,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-25",2009,8,0.383256198,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-26",2009,8,0.09049861,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-27",2009,8,10.53786988,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-28",2009,8,0.205624431,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-29",2009,8,0.020882141,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-30",2009,8,0.007015138,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-11",2009,8,4.133125009,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-08-31",2009,8,8.29471326,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-08",2009,12,2.58256823,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-09",2009,12,39.39498965,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-10",2009,12,0.020882141,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-14",2009,12,0.122289686,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-15",2009,12,2.944565869,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-16",2009,12,0.314392199,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kupwara","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
