"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Kurung Kumey","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-04",2009,4,2.847060391,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-05",2009,4,2.777076329,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-06",2009,4,0.804010386,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-20",2009,4,0.593964375,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-25",2009,4,5.362910069,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-26",2009,4,0.527417763,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-27",2009,4,0.058304695,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-28",2009,4,5.133314605,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-29",2009,4,22.51791721,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-04-30",2009,4,33.64884289,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-01",2009,8,3.443995143,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-02",2009,8,30.18174531,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-03",2009,8,43.00748999,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-04",2009,8,19.85390965,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-05",2009,8,27.99649203,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-06",2009,8,84.00548315,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-07",2009,8,24.64106521,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-08",2009,8,6.622836837,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-09",2009,8,7.841921925,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-10",2009,8,1.185997039,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-13",2009,8,0.313035751,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-14",2009,8,46.04169872,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-15",2009,8,2.718813518,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-16",2009,8,6.599928881,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-17",2009,8,5.575503216,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2009-08-19",2009,8,11.47087698,"IMD GRID MODEL"
