"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jharkhand","Latehar","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-08",2009,4,5.165737415,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-18",2009,4,0.020239301,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-20",2009,4,0.574739551,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-24",2009,4,0.272549472,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-25",2009,4,0.0112081,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-01",2009,8,0.500220144,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-02",2009,8,10.56162746,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-03",2009,8,2.745756683,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-04",2009,8,10.28048238,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-05",2009,8,8.911725598,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-06",2009,8,13.18051022,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-07",2009,8,2.886905162,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-08",2009,8,9.716592392,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-09",2009,8,8.51161723,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-10",2009,8,9.427697437,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-11",2009,8,3.322973986,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-12",2009,8,1.980473128,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-13",2009,8,2.829888705,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-14",2009,8,6.806086092,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-15",2009,8,3.607269721,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-16",2009,8,4.43892222,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-17",2009,8,20.83189134,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-18",2009,8,18.97508668,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-19",2009,8,8.1779956,"IMD GRID MODEL"
"Jharkhand","Latehar","2009-08-20",2009,8,5.619162715,"IMD GRID MODEL"
