"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Ladakh","Leh Ladakh","2009-04-02",2009,4,0.010668391,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-03",2009,4,2.759704817,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-04",2009,4,3.633105419,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-05",2009,4,0.684766511,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-09",2009,4,1.214817348,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-14",2009,4,1.452239294,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-15",2009,4,0.004222777,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-16",2009,4,0.002639326,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-17",2009,4,0.299135106,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-18",2009,4,0.91560358,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-19",2009,4,4.608933727,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-20",2009,4,0.290831017,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-23",2009,4,2.030056647,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-24",2009,4,1.925797666,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-25",2009,4,0.023874029,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-26",2009,4,3.784976696,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-27",2009,4,2.781982516,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-28",2009,4,1.41296012,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-29",2009,4,0.000149528,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-10",2009,4,0.968159519,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-11",2009,4,0.482691978,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-21",2009,4,1.47846464,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-04-22",2009,4,0.968276067,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-01",2009,8,2.00205208,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-02",2009,8,0.12447595,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-03",2009,8,1.302758103,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-05",2009,8,0.104710182,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-06",2009,8,0.127682147,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-07",2009,8,0.548481877,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-08",2009,8,0.247847513,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-11",2009,8,13.31117609,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-12",2009,8,2.929024858,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-13",2009,8,0.726551792,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-14",2009,8,2.801160366,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-15",2009,8,0.452689565,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-16",2009,8,1.259413303,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-17",2009,8,2.413667062,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-18",2009,8,0.204643884,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-19",2009,8,1.702203941,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-22",2009,8,7.579076434,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-23",2009,8,40.14916732,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-24",2009,8,0.047585093,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-25",2009,8,0.409646031,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-26",2009,8,0.149623634,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-27",2009,8,3.893795507,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-28",2009,8,0.333198128,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-29",2009,8,0.036390917,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-30",2009,8,0.371529746,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-09",2009,8,0.211642311,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-10",2009,8,6.743304159,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-20",2009,8,8.483014847,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-21",2009,8,3.786269866,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-08-31",2009,8,1.946849446,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-10",2009,12,7.308017647,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-12",2009,12,0.397417594,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-13",2009,12,30.01558884,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-14",2009,12,20.24438941,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-15",2009,12,1.627224293,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-16",2009,12,0.985003363,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-17",2009,12,0.014304006,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-18",2009,12,0.014304006,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-08",2009,12,7.438738651,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-09",2009,12,24.37366783,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-02",2009,2,3.003244459,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-05",2009,2,0.66427211,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-06",2009,2,12.85443779,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-07",2009,2,4.125532654,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-08",2009,2,2.301822004,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-09",2009,2,6.247235734,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-16",2009,2,10.98877191,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-17",2009,2,8.649273671,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-18",2009,2,0.852784914,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-21",2009,2,0.134680041,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-23",2009,2,1.242602747,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-24",2009,2,10.84643982,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-03",2009,2,0.336601359,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-04",2009,2,0.035013915,"IMD GRID MODEL"
"Ladakh","Leh Ladakh","2009-02-14",2009,2,3.678275041,"IMD GRID MODEL"
