"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Lohit","2009-04-02",2009,4,0.077634339,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-03",2009,4,0.844697521,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-04",2009,4,2.893955978,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-05",2009,4,0.919361771,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-06",2009,4,0.312384611,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-07",2009,4,0.435307252,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-10",2009,4,0.768696345,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-17",2009,4,1.741229008,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-18",2009,4,3.793391643,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-20",2009,4,0.310933754,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-25",2009,4,2.609958016,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-27",2009,4,0.187231592,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-28",2009,4,3.170963533,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-29",2009,4,15.44138145,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-04-30",2009,4,48.65839527,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-01",2009,8,24.70133585,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-02",2009,8,22.16883357,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-03",2009,8,12.79960992,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-04",2009,8,16.69378004,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-05",2009,8,19.66729958,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-06",2009,8,7.362371066,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-07",2009,8,13.8583826,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-08",2009,8,11.98469407,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-09",2009,8,2.339204915,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-10",2009,8,2.238722981,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-12",2009,8,0.099189453,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-14",2009,8,0.226201033,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-15",2009,8,42.89184367,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-16",2009,8,0.894192695,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-17",2009,8,3.250799469,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-19",2009,8,2.835363839,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-20",2009,8,3.376811361,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-21",2009,8,3.302159358,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-22",2009,8,2.178289698,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-23",2009,8,1.199517403,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-24",2009,8,14.4570464,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-25",2009,8,16.52143214,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-27",2009,8,15.72890918,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-28",2009,8,16.07838678,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-29",2009,8,39.7249586,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-30",2009,8,0.085026071,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-08-31",2009,8,1.346141147,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-10",2009,12,0.07030132,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-14",2009,12,0.124575383,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-15",2009,12,1.185524799,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-16",2009,12,1.974060599,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-17",2009,12,7.112657469,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-18",2009,12,6.289643262,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-19",2009,12,0.097142952,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-03",2009,2,0.288377496,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-04",2009,2,0.043585913,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-19",2009,2,0.288377496,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-24",2009,2,3.635650883,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-25",2009,2,7.338168481,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-26",2009,2,19.61988554,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-27",2009,2,0.645971723,"IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
