"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Chhattisgarh","Mahasamund","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-20",2009,4,0.643321852,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-24",2009,4,0.246584805,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-01",2009,8,37.20085555,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-02",2009,8,33.91805883,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-03",2009,8,0.372469504,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-04",2009,8,11.07962701,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-05",2009,8,55.62639848,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-06",2009,8,25.26625522,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-07",2009,8,3.997312928,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-08",2009,8,12.01572662,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-09",2009,8,2.287836943,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-10",2009,8,11.63795003,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-11",2009,8,77.84504688,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-12",2009,8,98.52033407,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-13",2009,8,46.92752359,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-14",2009,8,34.435149,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-15",2009,8,1.503502213,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-16",2009,8,1.652885709,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-17",2009,8,35.88853935,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-18",2009,8,40.7972977,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-19",2009,8,144.2513095,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-20",2009,8,71.42691034,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-21",2009,8,1.659262601,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-22",2009,8,0.556026737,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-24",2009,8,0.037550224,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-25",2009,8,9.751026528,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-26",2009,8,14.49690654,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-27",2009,8,1.316608063,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-28",2009,8,0.303202348,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-29",2009,8,0.444496562,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-08-31",2009,8,0.039337986,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-16",2009,12,0.028379521,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-17",2009,12,9.349066278,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-18",2009,12,0.253835443,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-01",2009,7,1.948717944,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-02",2009,7,0.573583023,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-03",2009,7,2.460331029,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-04",2009,7,0.302962047,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-05",2009,7,0.590134661,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-06",2009,7,5.015090736,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-07",2009,7,1.374211425,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-08",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-09",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-10",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-11",2009,7,0.137444465,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-12",2009,7,0.501346756,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-13",2009,7,5.259315358,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-14",2009,7,6.933101066,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-15",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-16",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-17",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-18",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-19",2009,7,0.003646865,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-20",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-22",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-23",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-24",2009,7,0.008896377,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-25",2009,7,11.95273567,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-21",2009,7,0.108893112,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-26",2009,7,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-27",2009,7,27.08086957,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-28",2009,7,2.785993467,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-29",2009,7,1.192061461,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-30",2009,7,18.87205417,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-07-31",2009,7,62.30240408,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-02",2009,6,0.119354361,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-03",2009,6,0.372648103,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-04",2009,6,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-05",2009,6,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-06",2009,6,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-07",2009,6,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-08",2009,6,0.0,"IMD GRID MODEL"
"Chhattisgarh","Mahasamund","2009-06-09",2009,6,0.0,"IMD GRID MODEL"
