"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Gujarat","Mahesana","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-19",2009,4,0.095134534,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-20",2009,4,0.080538669,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-01",2009,8,0.858828075,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-02",2009,8,8.791037821,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-04",2009,8,2.187067942,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-05",2009,8,0.892711348,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-06",2009,8,11.66453004,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-07",2009,8,16.64410119,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-08",2009,8,29.65281489,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-09",2009,8,0.98336465,"IMD GRID MODEL"
"Gujarat","Mahesana","2009-08-10",2009,8,0.57396995,"IMD GRID MODEL"
