"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Mahoba","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-15",2009,4,4.181308732,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-23",2009,4,0.007817534,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-24",2009,4,3.1448953,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-27",2009,4,0.019263284,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-02",2009,8,9.136411112,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-03",2009,8,6.049007935,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-04",2009,8,2.675569443,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-05",2009,8,2.295786065,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-06",2009,8,6.097489998,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-07",2009,8,6.051459517,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-08",2009,8,11.08647786,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-09",2009,8,9.807494932,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-10",2009,8,4.13344853,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-01",2009,8,18.68887678,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-11",2009,8,39.29959857,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-13",2009,8,4.339130284,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-14",2009,8,11.42851169,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-15",2009,8,15.34054853,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-16",2009,8,4.263054825,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-17",2009,8,0.175005147,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-18",2009,8,9.274685519,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-19",2009,8,7.309888115,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-20",2009,8,9.335568601,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-21",2009,8,1.932006589,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-22",2009,8,1.15188677,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-23",2009,8,1.533785171,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-25",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-26",2009,8,0.003595091,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-27",2009,8,0.237165114,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-31",2009,8,0.006365872,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-08-12",2009,8,28.55334215,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-11",2009,12,10.17287677,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-12",2009,12,0.799994651,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-13",2009,12,15.06022079,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-14",2009,12,6.001193932,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-15",2009,12,0.957877674,"IMD GRID MODEL"
"Uttar Pradesh","Mahoba","2009-12-16",2009,12,1.769680939,"IMD GRID MODEL"
