"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Kerala","Malappuram","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-08",2009,4,4.138860324,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-10",2009,4,1.328716346,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-11",2009,4,19.42973465,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-12",2009,4,0.793712467,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-13",2009,4,3.814683338,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-14",2009,4,5.374639702,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-15",2009,4,0.600602708,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-16",2009,4,0.960949632,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-21",2009,4,5.425699902,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-22",2009,4,8.094929349,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-23",2009,4,12.25305982,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-24",2009,4,2.741048607,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-25",2009,4,0.643229673,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-26",2009,4,2.618800281,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-27",2009,4,0.533817075,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-29",2009,4,0.176489534,"IMD GRID MODEL"
"Kerala","Malappuram","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-01",2009,8,8.34186667,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-02",2009,8,24.82485803,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-03",2009,8,36.9051375,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-04",2009,8,23.37541365,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-05",2009,8,34.68911874,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-06",2009,8,14.8810044,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-07",2009,8,59.89545527,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-08",2009,8,33.80008158,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-09",2009,8,16.29698485,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-10",2009,8,12.37251485,"IMD GRID MODEL"
"Kerala","Malappuram","2009-08-11",2009,8,20.30352077,"IMD GRID MODEL"
