"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Muzaffarabad","2009-04-02",2009,4,0.101931934,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-03",2009,4,1.053265795,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-05",2009,4,1.554588304,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-17",2009,4,0.776258506,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-18",2009,4,2.353894489,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-19",2009,4,9.505833252,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-23",2009,4,3.127831253,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-24",2009,4,4.116150696,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-26",2009,4,9.307177427,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-27",2009,4,7.244935789,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-28",2009,4,2.720933999,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-29",2009,4,0.003860434,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-01",2009,8,5.132681538,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-02",2009,8,0.200098093,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-03",2009,8,3.352237534,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-07",2009,8,0.032777973,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-10",2009,8,0.031011954,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-12",2009,8,3.188962926,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Muzaffarabad","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
