"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Nagaon","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-04",2009,4,0.056981796,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-05",2009,4,0.070317726,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-06",2009,4,0.004347713,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-19",2009,4,0.058948283,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-20",2009,4,1.455883314,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-21",2009,4,0.160061764,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-25",2009,4,1.555214607,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-26",2009,4,9.661462872,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-27",2009,4,0.540551957,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-28",2009,4,4.715458441,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-29",2009,4,9.373137867,"IMD GRID MODEL"
"Assam","Nagaon","2009-04-30",2009,4,14.30524841,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-01",2009,8,6.924986194,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-02",2009,8,6.105512142,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-03",2009,8,5.216522612,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-04",2009,8,3.114193086,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-05",2009,8,4.267276961,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-06",2009,8,2.741698418,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-07",2009,8,11.67652478,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-08",2009,8,7.504731146,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-09",2009,8,0.674812828,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-10",2009,8,1.784689743,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-11",2009,8,17.30043153,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-12",2009,8,1.288044699,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-13",2009,8,31.06152402,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-14",2009,8,5.300115627,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-15",2009,8,5.418687362,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-16",2009,8,17.72744225,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-17",2009,8,0.039873628,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-18",2009,8,2.204985213,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-19",2009,8,1.853143165,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-20",2009,8,11.13317925,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-21",2009,8,2.283716132,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-22",2009,8,5.100502811,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-23",2009,8,1.055541564,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-24",2009,8,10.18322684,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-25",2009,8,16.40836361,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-26",2009,8,39.65415171,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-27",2009,8,4.273905685,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-28",2009,8,12.09544397,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-29",2009,8,9.045470962,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-30",2009,8,5.712306743,"IMD GRID MODEL"
"Assam","Nagaon","2009-08-31",2009,8,0.848454512,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-11",2009,12,0.178555684,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-12",2009,12,0.018527137,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-14",2009,12,0.411092513,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-15",2009,12,5.787554495,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-16",2009,12,0.171232066,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-17",2009,12,0.05425499,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-18",2009,12,0.048194062,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-04",2009,2,0.004492588,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-19",2009,2,0.005391106,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-24",2009,2,0.009317126,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-25",2009,2,0.015148488,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-26",2009,2,1.902902723,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-04",2009,1,0.004492588,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-19",2009,1,0.005391106,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-24",2009,1,0.009317126,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-25",2009,1,0.015148488,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-26",2009,1,1.902902723,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-01",2009,7,11.12620704,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-02",2009,7,0.169325282,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-03",2009,7,0.796662817,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-04",2009,7,1.724517016,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-05",2009,7,0.384162632,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-06",2009,7,5.917109822,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-07",2009,7,6.437050532,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-08",2009,7,5.470625469,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-09",2009,7,2.086232776,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-10",2009,7,6.0590436,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-11",2009,7,14.72145035,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-12",2009,7,0.261851607,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-13",2009,7,3.349488808,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-14",2009,7,2.716576499,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-15",2009,7,2.322629483,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-16",2009,7,0.16220253,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-17",2009,7,2.101701468,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-18",2009,7,0.423188568,"IMD GRID MODEL"
"Assam","Nagaon","2009-07-19",2009,7,0.035264918,"IMD GRID MODEL"
