"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Bihar","Nawada","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-01",2009,8,0.443588366,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-02",2009,8,8.287253209,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-03",2009,8,1.665924828,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-04",2009,8,0.882993118,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-05",2009,8,0.480102093,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-06",2009,8,16.09997691,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-07",2009,8,5.226313116,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-08",2009,8,9.85957545,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-09",2009,8,1.399874266,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-10",2009,8,0.128253602,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-11",2009,8,0.135818991,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-13",2009,8,1.975370501,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-14",2009,8,1.002267515,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-15",2009,8,0.949714546,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-16",2009,8,1.343705081,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-18",2009,8,15.2775812,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-19",2009,8,7.466693245,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-20",2009,8,7.689918632,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-21",2009,8,2.238738753,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-22",2009,8,23.08704233,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-23",2009,8,8.143878171,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-24",2009,8,0.19016216,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-25",2009,8,5.797611259,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-26",2009,8,3.881872969,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-27",2009,8,1.883922967,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-28",2009,8,3.602851475,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-29",2009,8,0.258872826,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-06",2009,12,1.715444297,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-08",2009,12,1.277752738,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-09",2009,12,2.75858948,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-10",2009,12,0.17271648,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-12",2009,12,5.594580158,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-14",2009,12,0.284521939,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-15",2009,12,8.292912908,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-16",2009,12,1.743619192,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-17",2009,12,2.581013476,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-05",2009,2,0.037530621,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-06",2009,2,0.139515376,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-07",2009,2,0.250813567,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-05",2009,1,0.037530621,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-06",2009,1,0.139515376,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-07",2009,1,0.250813567,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Nawada","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
