"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Maharashtra","Osmanabad","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-12",2009,4,0.05750259,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-13",2009,4,1.086809678,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-14",2009,4,0.347795879,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-22",2009,4,1.032137194,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-30",2009,4,0.004953497,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-01",2009,8,0.122113738,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-02",2009,8,0.981066655,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-03",2009,8,2.899286166,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-04",2009,8,1.969575509,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-05",2009,8,9.647251255,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-06",2009,8,10.03544523,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-07",2009,8,15.32767413,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-09",2009,8,0.992229839,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-10",2009,8,0.939091049,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-12",2009,8,2.727262048,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-13",2009,8,1.211773794,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-14",2009,8,2.074512304,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-15",2009,8,1.144100154,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-16",2009,8,0.000147564,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-17",2009,8,0.001825597,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-18",2009,8,0.006174891,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-20",2009,8,8.568630555,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-21",2009,8,3.616263482,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-22",2009,8,0.405437226,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-23",2009,8,0.007494247,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-24",2009,8,0.007515352,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-25",2009,8,0.429159464,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-26",2009,8,0.088214434,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-27",2009,8,3.308411199,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-08",2009,8,3.187528724,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-19",2009,8,5.64799982,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-04",2009,12,0.044498792,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-08",2009,12,3.013227358,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-09",2009,12,14.51016829,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-10",2009,12,4.453813962,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-11",2009,12,11.14352957,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-12",2009,12,1.09994919,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-13",2009,12,0.147710406,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-14",2009,12,1.267546853,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-15",2009,12,2.782031175,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-16",2009,12,4.52877045,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-17",2009,12,4.288959093,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-07",2009,12,0.227274743,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-18",2009,12,0.156971634,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-06",2009,2,0.175263298,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-06",2009,1,0.175263298,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-01",2009,7,2.944517305,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-02",2009,7,0.002184531,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-03",2009,7,0.004187857,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-04",2009,7,0.150724417,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-05",2009,7,4.699085418,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-07",2009,7,5.400279214,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-08",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-09",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-10",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-11",2009,7,8.448690669,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-12",2009,7,1.660671843,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-13",2009,7,0.01266576,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-14",2009,7,0.022641268,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-15",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-16",2009,7,1.152342835,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-18",2009,7,7.740538957,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-19",2009,7,0.859837438,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-20",2009,7,8.758477724,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-21",2009,7,12.06563185,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-22",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-23",2009,7,0.000115144,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-24",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-25",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-26",2009,7,0.309610865,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-27",2009,7,0.010414782,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-29",2009,7,2.103435961,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-30",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-31",2009,7,0.292250961,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-06",2009,7,4.05730853,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-17",2009,7,13.45080641,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-07-28",2009,7,0.000469203,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-06-02",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-06-04",2009,6,0.026955898,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-06-05",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Osmanabad","2009-06-06",2009,6,1.731128759,"IMD GRID MODEL"
