"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Papum Pare","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-03",2009,4,0.03444731,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-04",2009,4,1.237053597,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-06",2009,4,0.748940067,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-19",2009,4,0.002299446,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-20",2009,4,0.556080544,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-23",2009,4,0.07730727,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-24",2009,4,0.008265565,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-25",2009,4,3.133607389,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-26",2009,4,0.71762011,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-28",2009,4,2.822131193,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-29",2009,4,20.91891764,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-30",2009,4,35.84533578,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-05",2009,4,0.347658261,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-04-27",2009,4,0.586690662,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-01",2009,8,3.760081407,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-02",2009,8,26.47327182,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-03",2009,8,11.51825784,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-05",2009,8,24.41826994,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-06",2009,8,10.23047619,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-07",2009,8,48.2363724,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-08",2009,8,19.13719929,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-09",2009,8,15.29118866,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-10",2009,8,1.080477001,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-12",2009,8,0.384950719,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-13",2009,8,2.474227537,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-14",2009,8,39.22722609,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-16",2009,8,35.52149302,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-17",2009,8,2.305192794,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-18",2009,8,0.229491113,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-19",2009,8,16.11845698,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-20",2009,8,22.92172484,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-21",2009,8,6.79306354,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-22",2009,8,6.596074764,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-23",2009,8,26.75056678,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-24",2009,8,17.89450407,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-25",2009,8,8.747838922,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-27",2009,8,7.347746558,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-28",2009,8,43.05532793,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-29",2009,8,5.372520572,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-30",2009,8,24.10352037,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-31",2009,8,19.92995821,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-04",2009,8,7.298926671,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-15",2009,8,10.56900591,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-08-26",2009,8,14.07671899,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-09",2009,12,0.476182203,"IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2009-12-10",2009,12,0.51239979,"IMD GRID MODEL"
