"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Kerala","Pathanamthitta","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-08",2009,4,20.98915106,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-09",2009,4,2.456379351,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-10",2009,4,1.232454426,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-11",2009,4,41.63999229,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-12",2009,4,9.01402477,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-13",2009,4,8.931866183,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-14",2009,4,3.827911986,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-15",2009,4,0.304434182,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-18",2009,4,5.492181985,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-21",2009,4,1.778029069,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-22",2009,4,3.422108452,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-23",2009,4,2.703478744,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-25",2009,4,0.030092609,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-26",2009,4,14.49736712,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-27",2009,4,3.803944801,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-28",2009,4,3.513829171,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-29",2009,4,1.71745084,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-01",2009,8,2.411745458,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-02",2009,8,25.60203388,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-03",2009,8,3.320297717,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-04",2009,8,8.168139082,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-05",2009,8,5.067046564,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-06",2009,8,2.260235286,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-07",2009,8,28.37099577,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-08",2009,8,1.829069564,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-09",2009,8,0.988742563,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-11",2009,8,5.212880186,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-12",2009,8,27.28862869,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-13",2009,8,14.11458919,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-14",2009,8,25.66390304,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-15",2009,8,24.81145745,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-16",2009,8,43.90818713,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-17",2009,8,1.757544792,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-18",2009,8,0.608791948,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-19",2009,8,8.627437617,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-20",2009,8,2.014547039,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-21",2009,8,1.070614956,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-22",2009,8,0.10550983,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-24",2009,8,0.440518458,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-25",2009,8,1.042546842,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-26",2009,8,3.496225238,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-27",2009,8,9.362768408,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-28",2009,8,9.501034362,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-29",2009,8,1.864802811,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-30",2009,8,27.98777114,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-08-31",2009,8,2.992266874,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-01",2009,12,0.050366852,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-03",2009,12,1.324343626,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-04",2009,12,11.86744832,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-05",2009,12,29.03407423,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-06",2009,12,15.59941261,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-07",2009,12,98.34241576,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-08",2009,12,35.19928625,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-10",2009,12,9.592238898,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-11",2009,12,1.175713129,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-13",2009,12,6.382560236,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-09",2009,12,16.95076633,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-14",2009,12,56.39501548,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-15",2009,12,14.27757968,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-16",2009,12,1.27135277,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-17",2009,12,0.076881446,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-18",2009,12,1.721736373,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-19",2009,12,20.54871152,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-20",2009,12,19.06701271,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-21",2009,12,4.018104388,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-22",2009,12,7.397930438,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-23",2009,12,0.224244377,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-25",2009,12,8.372141469,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-12-31",2009,12,0.501439137,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-08",2009,2,0.161591649,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-25",2009,2,3.911724995,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-26",2009,2,7.600276088,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-27",2009,2,0.063959804,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-08",2009,1,0.161591649,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-25",2009,1,3.911724995,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-26",2009,1,7.600276088,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-27",2009,1,0.063959804,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-07-01",2009,7,0.003221399,"IMD GRID MODEL"
"Kerala","Pathanamthitta","2009-07-02",2009,7,0.114027437,"IMD GRID MODEL"
