"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Nagaland","Phek","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-04",2009,4,0.026909991,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-19",2009,4,0.494214501,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-21",2009,4,0.171804266,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-25",2009,4,2.260408181,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-26",2009,4,9.542140712,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-27",2009,4,0.014133475,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-28",2009,4,2.457877341,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-29",2009,4,5.751343463,"IMD GRID MODEL"
"Nagaland","Phek","2009-04-30",2009,4,8.839093271,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-01",2009,8,1.182948388,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-02",2009,8,1.051820407,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-03",2009,8,0.431624167,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-04",2009,8,2.823725283,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-05",2009,8,3.347758819,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-06",2009,8,29.92725808,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-07",2009,8,22.8053878,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-08",2009,8,35.65908662,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-09",2009,8,0.751103114,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-10",2009,8,0.214371892,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-11",2009,8,1.878678485,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-12",2009,8,8.557926209,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-13",2009,8,2.295470284,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-14",2009,8,1.362893146,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-15",2009,8,1.119312236,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-16",2009,8,10.63244799,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-17",2009,8,4.951696862,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-19",2009,8,1.658224738,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-20",2009,8,0.126949434,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-21",2009,8,17.92944495,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-22",2009,8,0.047608957,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-23",2009,8,6.430673827,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-24",2009,8,3.613277218,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-25",2009,8,1.000840905,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-26",2009,8,2.507008215,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-27",2009,8,6.575318402,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-28",2009,8,20.84712522,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-29",2009,8,3.289302924,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-30",2009,8,4.388135745,"IMD GRID MODEL"
"Nagaland","Phek","2009-08-31",2009,8,5.637688704,"IMD GRID MODEL"
"Nagaland","Phek","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
