"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Maharashtra","Pune","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-12",2009,4,2.644532028,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-13",2009,4,0.064672131,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-14",2009,4,0.128019835,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-21",2009,4,0.000378271,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-22",2009,4,0.013186179,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-23",2009,4,0.214210082,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Pune","2009-04-30",2009,4,0.76624929,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-01",2009,8,13.42525133,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-02",2009,8,11.40628485,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-03",2009,8,5.340889272,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-04",2009,8,5.807719116,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-05",2009,8,15.54298953,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-06",2009,8,17.94435732,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-07",2009,8,14.57957102,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-08",2009,8,17.14264512,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-09",2009,8,11.35619511,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-10",2009,8,6.746529227,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-11",2009,8,3.669070492,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-12",2009,8,37.92642181,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-13",2009,8,70.58895543,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-14",2009,8,22.60265265,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-15",2009,8,13.00841624,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-16",2009,8,6.731081074,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-17",2009,8,9.545483443,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-18",2009,8,2.9599729,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-19",2009,8,12.11794547,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-20",2009,8,24.46469494,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-21",2009,8,25.13914995,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-22",2009,8,14.22768415,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-23",2009,8,10.74846043,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-24",2009,8,7.136249518,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-25",2009,8,9.093169083,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-26",2009,8,6.594657591,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-27",2009,8,3.870800773,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-28",2009,8,1.372976705,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-29",2009,8,0.958498003,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-30",2009,8,0.122191261,"IMD GRID MODEL"
"Maharashtra","Pune","2009-08-31",2009,8,1.238214028,"IMD GRID MODEL"
"Maharashtra","Pune","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
