"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Odisha","Puri","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-09",2009,4,0.034995872,"IMD GRID MODEL"
"Odisha","Puri","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-23",2009,4,0.047827269,"IMD GRID MODEL"
"Odisha","Puri","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-08-01",2009,8,36.89681924,"IMD GRID MODEL"
"Odisha","Puri","2009-08-02",2009,8,31.69955373,"IMD GRID MODEL"
"Odisha","Puri","2009-08-03",2009,8,2.866855965,"IMD GRID MODEL"
"Odisha","Puri","2009-08-04",2009,8,14.20156493,"IMD GRID MODEL"
"Odisha","Puri","2009-08-05",2009,8,6.312735072,"IMD GRID MODEL"
"Odisha","Puri","2009-08-06",2009,8,1.530201638,"IMD GRID MODEL"
"Odisha","Puri","2009-08-07",2009,8,28.88971545,"IMD GRID MODEL"
"Odisha","Puri","2009-08-08",2009,8,9.282139904,"IMD GRID MODEL"
"Odisha","Puri","2009-08-09",2009,8,5.660692584,"IMD GRID MODEL"
"Odisha","Puri","2009-08-10",2009,8,1.251061483,"IMD GRID MODEL"
"Odisha","Puri","2009-08-11",2009,8,85.72536819,"IMD GRID MODEL"
"Odisha","Puri","2009-08-12",2009,8,24.94544893,"IMD GRID MODEL"
"Odisha","Puri","2009-08-13",2009,8,61.28921148,"IMD GRID MODEL"
"Odisha","Puri","2009-08-14",2009,8,7.490649285,"IMD GRID MODEL"
"Odisha","Puri","2009-08-15",2009,8,0.025907959,"IMD GRID MODEL"
"Odisha","Puri","2009-08-16",2009,8,0.801230667,"IMD GRID MODEL"
"Odisha","Puri","2009-08-17",2009,8,113.9237744,"IMD GRID MODEL"
"Odisha","Puri","2009-08-18",2009,8,45.38858235,"IMD GRID MODEL"
"Odisha","Puri","2009-08-19",2009,8,34.40387624,"IMD GRID MODEL"
"Odisha","Puri","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-08-21",2009,8,0.422126113,"IMD GRID MODEL"
"Odisha","Puri","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-08-24",2009,8,2.368957875,"IMD GRID MODEL"
"Odisha","Puri","2009-08-25",2009,8,3.02032283,"IMD GRID MODEL"
"Odisha","Puri","2009-08-26",2009,8,3.66658706,"IMD GRID MODEL"
"Odisha","Puri","2009-08-27",2009,8,1.027591095,"IMD GRID MODEL"
"Odisha","Puri","2009-08-28",2009,8,6.90020881,"IMD GRID MODEL"
"Odisha","Puri","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Puri","2009-12-03",2009,12,0.101605655,"IMD GRID MODEL"
