"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Rajouri","2009-04-02",2009,4,0.001300601,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-03",2009,4,3.763482464,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-05",2009,4,0.098573353,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-06",2009,4,0.001228103,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-18",2009,4,1.939604777,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-19",2009,4,7.64359819,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-23",2009,4,10.00719806,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-24",2009,4,3.333210347,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-26",2009,4,2.566834234,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-27",2009,4,9.686954437,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-28",2009,4,6.268396014,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-29",2009,4,0.248703083,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-01",2009,8,17.01761516,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-02",2009,8,0.067542335,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-03",2009,8,0.840571429,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-07",2009,8,0.304240076,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-09",2009,8,7.883413008,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-10",2009,8,2.007150227,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-12",2009,8,0.113459222,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-16",2009,8,21.09182815,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-17",2009,8,0.001713552,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-18",2009,8,10.09262363,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-19",2009,8,22.50686552,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-20",2009,8,23.84423075,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-21",2009,8,14.03420683,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-22",2009,8,35.29794311,"IMD GRID MODEL"
"Jammu & Kashmir","Rajouri","2009-08-23",2009,8,2.639801226,"IMD GRID MODEL"
