"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Telangana","Ranga Reddy","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-13",2009,4,0.054559974,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-19",2009,4,1.760695949,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-21",2009,4,0.919684131,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-22",2009,4,0.379792477,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-24",2009,4,0.207888553,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-01",2009,8,0.039994858,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-02",2009,8,0.28394405,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-03",2009,8,1.43846225,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-04",2009,8,1.239074861,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-05",2009,8,1.466031005,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-06",2009,8,9.319881386,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-07",2009,8,1.03046806,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-08",2009,8,1.640242988,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-09",2009,8,0.280820304,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-12",2009,8,3.023526532,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-13",2009,8,1.264289752,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-14",2009,8,0.32008171,"IMD GRID MODEL"
"Telangana","Ranga Reddy","2009-08-15",2009,8,0.412185388,"IMD GRID MODEL"
