"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Reasi","2009-04-02",2009,4,0.014463181,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-03",2009,4,4.307745854,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-05",2009,4,0.148864434,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-06",2009,4,0.013656975,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-18",2009,4,2.297009508,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-19",2009,4,9.516510658,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-23",2009,4,9.892370313,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-24",2009,4,3.912454229,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-26",2009,4,3.312795414,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-27",2009,4,11.69863417,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-28",2009,4,7.670945405,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-29",2009,4,0.355677382,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-01",2009,8,15.88181081,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-02",2009,8,0.247205921,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-03",2009,8,0.965081689,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-07",2009,8,0.881448591,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-09",2009,8,5.523257909,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-10",2009,8,2.520549562,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-12",2009,8,0.014810889,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-13",2009,8,0.107664166,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-16",2009,8,15.39935363,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-17",2009,8,0.044057542,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-18",2009,8,9.485480556,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-19",2009,8,14.62090505,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-20",2009,8,17.57467846,"IMD GRID MODEL"
"Jammu & Kashmir","Reasi","2009-08-21",2009,8,9.832612806,"IMD GRID MODEL"
