"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Mizoram","Serchhip","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-03",2009,4,2.176862731,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-04",2009,4,11.06515925,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-25",2009,4,18.53495192,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-26",2009,4,19.83405122,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-27",2009,4,3.70126887,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-28",2009,4,0.672328648,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-29",2009,4,37.51317168,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-04-30",2009,4,8.723641785,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-01",2009,8,2.18002008,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-02",2009,8,2.673975001,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-03",2009,8,0.53316151,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-04",2009,8,2.227980236,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-05",2009,8,5.911363972,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-06",2009,8,6.80754984,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-07",2009,8,10.72859935,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-08",2009,8,1.438319096,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-09",2009,8,0.027500325,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-10",2009,8,0.124037009,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-11",2009,8,0.661467329,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-12",2009,8,12.86485365,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-13",2009,8,4.591888145,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-14",2009,8,38.34636555,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-15",2009,8,2.059194003,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-16",2009,8,5.324582974,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-17",2009,8,6.399410671,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-20",2009,8,8.668718474,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-21",2009,8,52.15706958,"IMD GRID MODEL"
"Mizoram","Serchhip","2009-08-22",2009,8,4.356873408,"IMD GRID MODEL"
