"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Shahjahanpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-19",2009,4,0.033603931,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-23",2009,4,0.156747494,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-24",2009,4,6.028855676,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-25",2009,4,0.177493705,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-28",2009,4,0.028035197,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-02",2009,8,0.556671225,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-04",2009,8,0.005799624,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-06",2009,8,2.61e-05,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-07",2009,8,0.020106723,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-08",2009,8,0.257958288,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-10",2009,8,1.314627943,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-11",2009,8,26.11937579,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-12",2009,8,22.95518998,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-13",2009,8,0.838009211,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-14",2009,8,6.850173952,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-15",2009,8,4.98e-05,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-16",2009,8,0.700756221,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-17",2009,8,0.073138576,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-18",2009,8,3.744749928,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-20",2009,8,1.066156813,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-21",2009,8,0.014501937,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-22",2009,8,3.451684864,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-23",2009,8,3.973666076,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-24",2009,8,0.013714606,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-25",2009,8,1.897539674,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-26",2009,8,58.94294779,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-27",2009,8,27.26029749,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-28",2009,8,15.32608902,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-29",2009,8,2.715757417,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-30",2009,8,0.952083811,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-08-31",2009,8,0.425155227,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-12",2009,12,6.457763729,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Shahjahanpur","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
