"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Siang","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-03",2009,4,0.208925183,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-04",2009,4,0.713344851,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-05",2009,4,0.02443915,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-06",2009,4,0.578520457,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-07",2009,4,0.665328225,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-17",2009,4,2.661312898,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-18",2009,4,5.797860213,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-20",2009,4,0.475234449,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-25",2009,4,9.16088021,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-27",2009,4,0.379097559,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-28",2009,4,0.529325216,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-29",2009,4,13.86514711,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-04-30",2009,4,18.67989935,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-01",2009,8,38.70150761,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-02",2009,8,38.1017386,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-03",2009,8,20.0581675,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-04",2009,8,14.04237406,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-05",2009,8,3.732151522,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-06",2009,8,19.32297937,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-07",2009,8,7.519461944,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-08",2009,8,2.799524754,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-09",2009,8,6.50816062,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-10",2009,8,3.421687894,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-12",2009,8,0.107028418,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-14",2009,8,1.975012354,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-15",2009,8,0.31248063,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-16",2009,8,0.040377796,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-17",2009,8,4.988745673,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-18",2009,8,0.194396319,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-19",2009,8,7.851903649,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-20",2009,8,5.838965043,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-21",2009,8,0.057356609,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-22",2009,8,12.1351809,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-23",2009,8,43.72562831,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-24",2009,8,35.14049633,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-25",2009,8,37.56285319,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-26",2009,8,15.06143088,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-27",2009,8,2.996751212,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-28",2009,8,20.05310307,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-29",2009,8,26.22852409,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-30",2009,8,4.641935616,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-08-31",2009,8,28.5871041,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-10",2009,12,3.524384153,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-14",2009,12,0.220192194,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-15",2009,12,2.165583481,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-16",2009,12,4.761716202,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-17",2009,12,38.66466803,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-18",2009,12,8.590507211,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-19",2009,12,2.299053328,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-20",2009,12,0.165734339,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-01",2009,2,0.030937415,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-03",2009,2,0.011064426,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-04",2009,2,1.351245185,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-05",2009,2,0.005646984,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-19",2009,2,0.011064426,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-24",2009,2,7.564355383,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-25",2009,2,11.2249229,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-26",2009,2,9.606003418,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-27",2009,2,5.566378553,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-01",2009,1,0.030937415,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-03",2009,1,0.011064426,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-04",2009,1,1.351245185,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-05",2009,1,0.005646984,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-19",2009,1,0.011064426,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-24",2009,1,7.564355383,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-25",2009,1,11.2249229,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-26",2009,1,9.606003418,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-27",2009,1,5.566378553,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-01",2009,7,7.305299111,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-02",2009,7,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-04",2009,7,0.674816006,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-05",2009,7,3.259520927,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-06",2009,7,0.39115052,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-07",2009,7,0.226328626,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-08",2009,7,3.455597127,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-09",2009,7,21.0354499,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-10",2009,7,16.38594194,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-11",2009,7,9.691103076,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-12",2009,7,2.370697736,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-13",2009,7,10.99852059,"IMD GRID MODEL"
"Arunachal Pradesh","Siang","2009-07-14",2009,7,0.556295278,"IMD GRID MODEL"
