"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Maharashtra","Solapur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-12",2009,4,0.111337845,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-13",2009,4,2.298330994,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-14",2009,4,0.186918284,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-19",2009,4,0.009227029,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-22",2009,4,1.185491059,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-23",2009,4,0.000277859,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-04-30",2009,4,0.903015839,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-01",2009,8,2.060797019,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-02",2009,8,1.260606989,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-03",2009,8,2.71099855,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-04",2009,8,3.122183486,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-05",2009,8,4.617691065,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-06",2009,8,4.812614064,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-07",2009,8,24.02657326,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-08",2009,8,3.939233316,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-09",2009,8,1.646839918,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-10",2009,8,1.512461392,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-11",2009,8,0.40267355,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-12",2009,8,2.233002994,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-13",2009,8,2.541485394,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-14",2009,8,6.300291243,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-15",2009,8,0.397540916,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-16",2009,8,0.203774551,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-17",2009,8,5.146127696,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-18",2009,8,0.028330837,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-19",2009,8,2.289373709,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-20",2009,8,3.915242657,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-21",2009,8,1.885662888,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-22",2009,8,0.303627315,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-23",2009,8,0.323150836,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-24",2009,8,0.393751294,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-25",2009,8,0.351944661,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-26",2009,8,0.150200581,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-27",2009,8,1.958084845,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-28",2009,8,0.043084794,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-29",2009,8,0.002820782,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-08-31",2009,8,0.004669296,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-04",2009,12,0.004360986,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-07",2009,12,0.044496497,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-08",2009,12,6.473907626,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-09",2009,12,0.591703999,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-10",2009,12,10.42205472,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-11",2009,12,9.011857278,"IMD GRID MODEL"
"Maharashtra","Solapur","2009-12-12",2009,12,0.346055948,"IMD GRID MODEL"
