"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Meghalaya","South Garo Hills","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-04",2009,4,0.088032443,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-20",2009,4,3.560718305,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-21",2009,4,0.701396621,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-23",2009,4,0.224360851,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-24",2009,4,0.89798611,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-25",2009,4,7.545794262,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-26",2009,4,0.27798244,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-27",2009,4,3.563522025,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-28",2009,4,30.9511809,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-29",2009,4,21.90110958,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-04-30",2009,4,37.64162127,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-08-01",2009,8,49.19515231,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-08-02",2009,8,90.64749295,"IMD GRID MODEL"
"Meghalaya","South Garo Hills","2009-08-03",2009,8,36.57628764,"IMD GRID MODEL"
