"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Srinagar","2009-04-02",2009,4,0.101947568,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-03",2009,4,1.572739383,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-05",2009,4,1.429305564,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-17",2009,4,0.704690849,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-18",2009,4,2.452425681,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-19",2009,4,9.885575329,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-23",2009,4,3.664184257,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-24",2009,4,4.205405947,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-26",2009,4,8.859382671,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-27",2009,4,8.058497861,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-28",2009,4,3.364041999,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-29",2009,4,0.020400398,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-01",2009,8,0.865195787,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-02",2009,8,0.241395621,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-03",2009,8,3.173395878,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-07",2009,8,0.520398848,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-10",2009,8,0.296261675,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-12",2009,8,0.082338143,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-16",2009,8,0.605392434,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-17",2009,8,0.055862412,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-19",2009,8,0.079357645,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-20",2009,8,5.606606079,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-22",2009,8,3.267187073,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-23",2009,8,0.776226267,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-25",2009,8,0.35235165,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-26",2009,8,0.206365498,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-27",2009,8,12.03625395,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-28",2009,8,0.813878609,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-29",2009,8,0.074335584,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-11",2009,8,4.537234753,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-30",2009,8,0.120144223,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-08-31",2009,8,0.430810658,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-08",2009,12,2.682342234,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-09",2009,12,37.38652205,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-10",2009,12,0.074335584,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-13",2009,12,0.001236523,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-14",2009,12,0.284481658,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-15",2009,12,4.308227698,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-16",2009,12,0.906381918,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-25",2009,12,0.001236514,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-02",2009,2,5.8928235,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-03",2009,2,0.238211363,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-05",2009,2,3.217314849,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-06",2009,2,2.010539197,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-08",2009,2,0.786194222,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-09",2009,2,0.128829062,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-14",2009,2,9.395034232,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-15",2009,2,19.43207544,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-16",2009,2,9.700997587,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-17",2009,2,19.50652029,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-23",2009,2,3.000000083,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-24",2009,2,16.81140175,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-25",2009,2,9.517085143,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-26",2009,2,0.745764773,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-02",2009,1,5.8928235,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-03",2009,1,0.238211363,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-05",2009,1,3.217314849,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-06",2009,1,2.010539197,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-08",2009,1,0.786194222,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-09",2009,1,0.128829062,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-14",2009,1,9.395034232,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-15",2009,1,19.43207544,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-16",2009,1,9.700997587,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-17",2009,1,19.50652029,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-23",2009,1,3.000000083,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-24",2009,1,16.81140175,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-25",2009,1,9.517085143,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-26",2009,1,0.745764773,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Srinagar","2009-07-01",2009,7,1.421260913,"IMD GRID MODEL"
