"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Odisha","Sundargarh","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-08",2009,4,0.411071188,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-19",2009,4,0.743468799,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-22",2009,4,0.054600665,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-24",2009,4,0.935747261,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-29",2009,4,0.091076788,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-01",2009,8,17.75500599,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-02",2009,8,18.15252601,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-03",2009,8,8.706415289,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-04",2009,8,18.45623561,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-05",2009,8,16.27430884,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-06",2009,8,31.08705926,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-07",2009,8,4.81391549,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-08",2009,8,11.54259011,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-09",2009,8,17.95348213,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-10",2009,8,22.69132501,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-11",2009,8,30.72442989,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-12",2009,8,7.758764835,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-13",2009,8,9.180121521,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-14",2009,8,34.48099215,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-15",2009,8,7.366075133,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-16",2009,8,0.746105401,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-17",2009,8,9.689439316,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-18",2009,8,36.32720608,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-19",2009,8,51.47620764,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-20",2009,8,16.87574563,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-21",2009,8,6.914131964,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-22",2009,8,5.457060046,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-23",2009,8,1.597097713,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-24",2009,8,1.818781602,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-25",2009,8,6.788731858,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-26",2009,8,11.36016551,"IMD GRID MODEL"
"Odisha","Sundargarh","2009-08-27",2009,8,3.70735588,"IMD GRID MODEL"
