"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Chhattisgarh","Surajpur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-18",2009,4,0.137012064,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-20",2009,4,1.759348192,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-24",2009,4,0.610703325,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-01",2009,8,1.017824406,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-02",2009,8,4.754505916,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-03",2009,8,2.832661816,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-04",2009,8,11.28917531,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-05",2009,8,16.13424446,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-06",2009,8,13.21886237,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-07",2009,8,6.394119504,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-08",2009,8,5.304519664,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-09",2009,8,23.47699309,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-10",2009,8,4.759648853,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-11",2009,8,27.39733581,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-12",2009,8,2.071390259,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-13",2009,8,4.54823481,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-14",2009,8,25.03988209,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-15",2009,8,10.08626827,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-16",2009,8,9.081953948,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-17",2009,8,25.12814402,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-18",2009,8,14.2428187,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-19",2009,8,16.9593892,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-20",2009,8,13.91977479,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-21",2009,8,4.723016713,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-22",2009,8,4.525892917,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-24",2009,8,2.373284111,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-25",2009,8,1.361368641,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-26",2009,8,9.564530827,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-27",2009,8,2.751936005,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-30",2009,8,0.269596974,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-08-31",2009,8,0.669286604,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-03",2009,12,0.002368084,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-05",2009,12,0.395978874,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-08",2009,12,0.006202124,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-09",2009,12,0.079708564,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-10",2009,12,1.171794763,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-11",2009,12,0.001691489,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-12",2009,12,0.157523352,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-13",2009,12,0.008571413,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-15",2009,12,2.966377952,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-16",2009,12,13.25935025,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-14",2009,12,0.08100604,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-17",2009,12,16.20696077,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Surajpur","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
