"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Theni","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-08",2009,4,0.868757427,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-09",2009,4,1.507663528,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-10",2009,4,16.34331053,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-11",2009,4,6.048088411,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-12",2009,4,1.575063878,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-13",2009,4,5.263314464,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-14",2009,4,6.004098703,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-15",2009,4,0.013550352,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-18",2009,4,0.3214692,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-21",2009,4,0.607002941,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-22",2009,4,1.170921692,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-23",2009,4,10.35978116,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-24",2009,4,1.295885129,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-25",2009,4,0.201498004,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-26",2009,4,0.761392165,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-29",2009,4,0.058957767,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-01",2009,8,0.18844104,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-02",2009,8,6.080802829,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-03",2009,8,0.185126445,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-04",2009,8,0.126921679,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-05",2009,8,2.1513515,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-06",2009,8,0.459971957,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-07",2009,8,18.91536208,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-08",2009,8,1.446509969,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-11",2009,8,1.298299414,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-12",2009,8,15.61807995,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-13",2009,8,2.180391157,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-14",2009,8,7.677134847,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-15",2009,8,6.051217486,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-16",2009,8,5.921509968,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-18",2009,8,1.828088252,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-19",2009,8,1.498280655,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-22",2009,8,0.011556201,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-25",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-26",2009,8,0.024906048,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-27",2009,8,0.024906048,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-28",2009,8,0.867171168,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-29",2009,8,2.244629535,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-30",2009,8,2.067748306,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-02",2009,12,1.101494152,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-03",2009,12,1.680035468,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-04",2009,12,20.37069062,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-05",2009,12,21.28388602,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-01",2009,12,0.154644508,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-06",2009,12,7.478279103,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-07",2009,12,90.93543386,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-08",2009,12,30.943829,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-10",2009,12,4.86631309,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-11",2009,12,3.061532168,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-13",2009,12,4.387945738,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-09",2009,12,25.36016673,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-14",2009,12,24.69218931,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-15",2009,12,12.28755631,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-16",2009,12,2.994831186,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-17",2009,12,33.68245236,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-18",2009,12,1.888739233,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-19",2009,12,0.806368728,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-20",2009,12,0.906861384,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-21",2009,12,4.991609933,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-22",2009,12,15.80972996,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-23",2009,12,0.644430116,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-24",2009,12,1.619727814,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-25",2009,12,0.015487937,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-29",2009,12,0.024906048,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-30",2009,12,0.016604032,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-12-31",2009,12,0.190669581,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-14",2009,2,0.272817913,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-25",2009,2,14.0600634,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-26",2009,2,1.501285388,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-27",2009,2,1.235449277,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-14",2009,1,0.272817913,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Tamil Nadu","Theni","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
