"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Manipur","Thoubal","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-03",2009,4,0.286820287,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-04",2009,4,2.39058448,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-21",2009,4,0.999700246,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-25",2009,4,9.112958551,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-26",2009,4,25.75401091,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-28",2009,4,0.086837411,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-29",2009,4,1.087117823,"IMD GRID MODEL"
"Manipur","Thoubal","2009-04-30",2009,4,9.494368909,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-01",2009,8,3.20161204,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-02",2009,8,5.611696162,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-03",2009,8,13.26674425,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-04",2009,8,2.833426712,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-05",2009,8,1.694213095,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-06",2009,8,27.10309163,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-07",2009,8,17.04719625,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-08",2009,8,25.13944687,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-09",2009,8,3.016908821,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-11",2009,8,0.075487401,"IMD GRID MODEL"
"Manipur","Thoubal","2009-08-12",2009,8,4.323595162,"IMD GRID MODEL"
