"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Tinsukia","2009-04-02",2009,4,0.15150317,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-03",2009,4,0.890001118,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-04",2009,4,3.643451332,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-05",2009,4,1.987508157,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-06",2009,4,0.873238921,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-07",2009,4,0.52587601,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-10",2009,4,0.820091402,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-17",2009,4,2.103504042,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-18",2009,4,4.582633831,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-19",2009,4,0.007389669,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-20",2009,4,0.375625727,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-23",2009,4,0.060680291,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-25",2009,4,2.599105016,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-26",2009,4,0.069110408,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-27",2009,4,0.862168595,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-28",2009,4,3.367485952,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-29",2009,4,18.14335511,"IMD GRID MODEL"
"Assam","Tinsukia","2009-04-30",2009,4,48.97598589,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-01",2009,8,34.60111932,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-02",2009,8,20.05049822,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-03",2009,8,15.27468802,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-04",2009,8,14.82659315,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-05",2009,8,15.03458964,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-06",2009,8,15.00582887,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-07",2009,8,9.947619735,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-08",2009,8,6.868516746,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-09",2009,8,2.420819705,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-10",2009,8,2.704505009,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-12",2009,8,0.378895514,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-14",2009,8,9.463108956,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-15",2009,8,20.09310855,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-16",2009,8,1.199851066,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-17",2009,8,7.835110842,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-19",2009,8,1.716586845,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-20",2009,8,4.454714624,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-21",2009,8,3.639864499,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-22",2009,8,3.505332028,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-23",2009,8,3.738370236,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-24",2009,8,17.42651305,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-25",2009,8,13.76002555,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-26",2009,8,0.001919045,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-27",2009,8,17.51960987,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-28",2009,8,21.11849548,"IMD GRID MODEL"
"Assam","Tinsukia","2009-08-29",2009,8,29.43086716,"IMD GRID MODEL"
