"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Udhampur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-03",2009,4,3.023053228,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-05",2009,4,0.064129982,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-18",2009,4,1.643382701,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-19",2009,4,7.834562749,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-23",2009,4,11.00371386,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-24",2009,4,3.273663666,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-26",2009,4,3.502547066,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-27",2009,4,8.730255076,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-28",2009,4,6.703561122,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-29",2009,4,0.272115373,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-01",2009,8,17.16655647,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-02",2009,8,2.408106477,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-03",2009,8,0.659304699,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-07",2009,8,1.919513414,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-08",2009,8,2.193868169,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-09",2009,8,7.529667081,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-10",2009,8,2.361944296,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-12",2009,8,0.512673277,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-13",2009,8,2.480003498,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-14",2009,8,0.474286369,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-16",2009,8,24.19495388,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-17",2009,8,0.081132925,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-18",2009,8,11.20351873,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-19",2009,8,28.64650376,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-20",2009,8,27.23102465,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-21",2009,8,15.48969558,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-22",2009,8,40.05791042,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-23",2009,8,4.861906355,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-24",2009,8,0.451674992,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-25",2009,8,2.648900873,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-11",2009,8,13.70785564,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-26",2009,8,13.4540714,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-27",2009,8,18.50554839,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-28",2009,8,4.625952899,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-29",2009,8,0.70025466,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-30",2009,8,14.91968536,"IMD GRID MODEL"
"Jammu & Kashmir","Udhampur","2009-08-31",2009,8,33.92582015,"IMD GRID MODEL"
