"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Karnataka","Uttara Kannada","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-10",2009,4,0.087360829,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-11",2009,4,2.407184777,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-12",2009,4,0.51728405,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-13",2009,4,0.512143345,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-14",2009,4,0.518373241,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-15",2009,4,0.162698583,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-16",2009,4,0.926142775,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-17",2009,4,1.060471492,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-18",2009,4,1.244738083,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-19",2009,4,0.090158124,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-20",2009,4,0.000213806,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-21",2009,4,0.062618328,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-22",2009,4,1.665250101,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-23",2009,4,5.665798751,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-24",2009,4,3.196249311,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-25",2009,4,0.096546517,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-26",2009,4,0.238617984,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-27",2009,4,2.683225553,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-28",2009,4,4.812764367,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-29",2009,4,0.902565953,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-04-30",2009,4,0.689263577,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-01",2009,8,102.0927485,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-02",2009,8,85.12003758,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-03",2009,8,60.66241332,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-04",2009,8,63.83000369,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-05",2009,8,60.18847618,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-06",2009,8,67.99042925,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-07",2009,8,87.00071831,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-08",2009,8,69.09903799,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-09",2009,8,33.71997532,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-10",2009,8,43.70891407,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-11",2009,8,29.28015163,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-12",2009,8,51.66444558,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-13",2009,8,110.9342259,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-14",2009,8,104.81434,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-15",2009,8,62.28413538,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-16",2009,8,64.77937554,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-17",2009,8,42.13405296,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-18",2009,8,36.25308182,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-19",2009,8,30.46013917,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-20",2009,8,49.40730433,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-21",2009,8,28.24184159,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-22",2009,8,15.93676323,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-23",2009,8,22.83997412,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-24",2009,8,10.92931669,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-25",2009,8,19.66311859,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-26",2009,8,47.65225219,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-27",2009,8,48.77410461,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-28",2009,8,59.84909613,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-29",2009,8,10.82317478,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-30",2009,8,5.753825324,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-08-31",2009,8,2.153490828,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-01",2009,12,0.077791948,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-02",2009,12,0.114119312,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-03",2009,12,0.015044668,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-06",2009,12,0.112724482,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-07",2009,12,0.020480078,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-08",2009,12,1.330451861,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-09",2009,12,8.472258322,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-10",2009,12,15.59659906,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-11",2009,12,15.35306373,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-12",2009,12,0.454086554,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-13",2009,12,0.8379626,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-14",2009,12,7.925346868,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-15",2009,12,11.81335582,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-16",2009,12,12.02778362,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-17",2009,12,0.73422946,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-18",2009,12,0.744265726,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-19",2009,12,9.749206428,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-20",2009,12,1.269242396,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-21",2009,12,0.483306061,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-22",2009,12,0.424730696,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-23",2009,12,0.182328723,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-24",2009,12,0.007268164,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-25",2009,12,0.002607436,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-26",2009,12,0.113955456,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-01",2009,7,2.495749219,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-02",2009,7,0.969383816,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-03",2009,7,0.969373392,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-04",2009,7,9.934355982,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-05",2009,7,38.21460929,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-06",2009,7,81.76352043,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-07",2009,7,6.709518085,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-08",2009,7,1.768407318,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-09",2009,7,1.305042803,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-10",2009,7,0.185717829,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-11",2009,7,0.62589669,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-12",2009,7,1.74048354,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-13",2009,7,0.76228518,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-14",2009,7,2.23049719,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-15",2009,7,11.19737608,"IMD GRID MODEL"
"Karnataka","Uttara Kannada","2009-07-16",2009,7,11.82267621,"IMD GRID MODEL"
