"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Virudhunagar","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-08",2009,4,1.269101539,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-09",2009,4,0.116671289,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-10",2009,4,2.208345183,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-11",2009,4,2.525189821,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-12",2009,4,1.802075275,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-13",2009,4,0.936605915,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-14",2009,4,0.952428762,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-15",2009,4,0.00149223,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-18",2009,4,0.018800744,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-21",2009,4,0.008251027,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-22",2009,4,0.304572121,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-23",2009,4,0.077464274,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-25",2009,4,0.027409733,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-26",2009,4,0.048624603,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-29",2009,4,0.015130278,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-01",2009,8,0.018761543,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-02",2009,8,1.284069922,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-04",2009,8,0.00017892,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-07",2009,8,2.332757359,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-12",2009,8,2.22445794,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-15",2009,8,0.001270327,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-16",2009,8,0.055922816,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-19",2009,8,0.171075761,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-23",2009,8,1.827283075,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-25",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-28",2009,8,0.03820226,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-29",2009,8,1.274725799,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-30",2009,8,0.624061083,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-08-31",2009,8,1.011396454,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-02",2009,12,0.805715318,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-03",2009,12,4.688740081,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-01",2009,12,0.481449903,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-04",2009,12,12.5140518,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-05",2009,12,25.17657929,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-06",2009,12,10.20814285,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-07",2009,12,64.4346762,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-08",2009,12,18.42861174,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-10",2009,12,0.286746036,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-09",2009,12,14.13715574,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-11",2009,12,9.092758724,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-12",2009,12,0.054709524,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-13",2009,12,3.451318313,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-14",2009,12,32.65999154,"IMD GRID MODEL"
"Tamil Nadu","Virudhunagar","2009-12-15",2009,12,24.732452,"IMD GRID MODEL"
