"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Visakhapatanam","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-19",2009,4,0.025680914,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-20",2009,4,11.60253494,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-23",2009,4,0.001065964,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-24",2009,4,0.221201551,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-26",2009,4,0.003269977,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-01",2009,8,1.431481701,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-02",2009,8,0.699035679,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-03",2009,8,2.481484896,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-04",2009,8,3.439789331,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-05",2009,8,2.254236466,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-06",2009,8,3.912487646,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-07",2009,8,1.872161631,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-08",2009,8,4.741466593,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-09",2009,8,0.921517451,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-10",2009,8,2.787738119,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-11",2009,8,6.494261753,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-12",2009,8,18.83994956,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-13",2009,8,19.9260585,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-14",2009,8,3.467099993,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-15",2009,8,1.997970997,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-16",2009,8,4.15e-05,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-17",2009,8,7.457007835,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-18",2009,8,16.94877527,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-19",2009,8,2.580758621,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-20",2009,8,2.188815718,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-21",2009,8,0.013777051,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-24",2009,8,0.062988505,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-25",2009,8,5.921223596,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-26",2009,8,1.821619963,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-27",2009,8,0.352562419,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-28",2009,8,0.272861598,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-29",2009,8,1.982328587,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-30",2009,8,3.311147541,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-08-31",2009,8,0.615783642,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-03",2009,12,1.84960042,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-04",2009,12,1.115809774,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-05",2009,12,0.733617095,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-06",2009,12,11.05607137,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-07",2009,12,0.609405936,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-11",2009,12,15.16869347,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-12",2009,12,1.55729147,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-14",2009,12,0.280308679,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-16",2009,12,19.5837267,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-17",2009,12,10.2476236,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-18",2009,12,1.594005623,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-19",2009,12,32.36986996,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-20",2009,12,0.943758753,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-02-01",2009,2,0.00365032,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
