"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Telangana","Warangal Rural","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-19",2009,4,0.136558623,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-22",2009,4,6.3874882,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-01",2009,8,6.773043573,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-02",2009,8,6.211528058,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-03",2009,8,6.216699987,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-04",2009,8,3.392221422,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-05",2009,8,0.006363481,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-06",2009,8,15.74148044,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-07",2009,8,2.432672729,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-08",2009,8,3.96910698,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-09",2009,8,0.048124606,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-11",2009,8,7.640465068,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-12",2009,8,19.38643968,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-13",2009,8,8.637425922,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-14",2009,8,6.152441963,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-15",2009,8,0.585051264,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-16",2009,8,0.000474798,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-18",2009,8,7.586935948,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-19",2009,8,25.55578247,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-20",2009,8,0.410838079,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-21",2009,8,0.093277777,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-24",2009,8,0.698800217,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-25",2009,8,0.006363481,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-27",2009,8,1.430048037,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-28",2009,8,0.723126569,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-06",2009,12,0.193781059,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-07",2009,12,0.336872241,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-09",2009,12,0.150750401,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-12",2009,12,1.656066294,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-17",2009,12,77.52590337,"IMD GRID MODEL"
"Telangana","Warangal Rural","2009-12-18",2009,12,16.52645433,"IMD GRID MODEL"
