"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Nagaland","Zunheboto","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-04",2009,4,0.077908371,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-05",2009,4,0.062431164,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-10",2009,4,0.009428491,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-19",2009,4,0.364738841,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-23",2009,4,0.642762914,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-25",2009,4,3.301017881,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-26",2009,4,8.043969117,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-27",2009,4,1.588713531,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-28",2009,4,4.221585177,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-29",2009,4,8.244681269,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-04-30",2009,4,6.950819906,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-08-01",2009,8,2.08500854,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-08-02",2009,8,2.864448893,"IMD GRID MODEL"
"Nagaland","Zunheboto","2009-08-03",2009,8,1.404913308,"IMD GRID MODEL"
