State,District,Date,Year,Month,Avg_rainfall,Agency_name
Nagaland,Longleng,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-01,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-02,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-03,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-04,2009,1,0.025783161,IMD GRID MODEL
Nagaland,Peren,2009-01-04,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-04,2009,1,0.106893209,IMD GRID MODEL
Nagaland,Phek,2009-01-04,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-04,2009,1,0.366426309,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-04,2009,1,0.206222478,IMD GRID MODEL
Nagaland,Dimapur,2009-01-04,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-04,2009,1,0.020321082,IMD GRID MODEL
Nagaland,Wokha,2009-01-04,2009,1,0.412707441,IMD GRID MODEL
Nagaland,Kiphire,2009-01-04,2009,1,0.003578707,IMD GRID MODEL
Nagaland,Longleng,2009-01-04,2009,1,0.120567959,IMD GRID MODEL
Nagaland,Kiphire,2009-01-05,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-05,2009,1,0.007567809,IMD GRID MODEL
Nagaland,Phek,2009-01-05,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-05,2009,1,0.353421888,IMD GRID MODEL
Nagaland,Wokha,2009-01-05,2009,1,0.023649398,IMD GRID MODEL
Nagaland,Peren,2009-01-05,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-05,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-05,2009,1,0.102023142,IMD GRID MODEL
Nagaland,Dimapur,2009-01-05,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-05,2009,1,0.407522321,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-05,2009,1,0.250141398,IMD GRID MODEL
Nagaland,Mon,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-06,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-07,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-08,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-09,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-10,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-11,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-12,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-13,2009,1,0.0,IMD GRID MODEL
Nagaland,Mokokchung,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Tuensang,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Kiphire,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Dimapur,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Zunheboto,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Mon,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Kohima,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Wokha,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Peren,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Longleng,2009-01-14,2009,1,0.0,IMD GRID MODEL
Nagaland,Phek,2009-01-14,2009,1,0.0,IMD GRID MODEL
