State,District,Date,Year,Month,Avg_rainfall,Agency_name
Puducherry,Mahe,2009-01-01,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-01,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-01,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-01,2009,1,0.257861048,IMD GRID MODEL
Puducherry,Mahe,2009-01-02,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-02,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-02,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-02,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-03,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-03,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-03,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-03,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-04,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-04,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-04,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-04,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-05,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-05,2009,1,2.195458604,IMD GRID MODEL
Puducherry,Karaikal,2009-01-05,2009,1,9.573245912,IMD GRID MODEL
Puducherry,Yanam,2009-01-05,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-06,2009,1,13.69553784,IMD GRID MODEL
Puducherry,Karaikal,2009-01-06,2009,1,13.06241764,IMD GRID MODEL
Puducherry,Yanam,2009-01-06,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-06,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-07,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-07,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-07,2009,1,0.197288245,IMD GRID MODEL
Puducherry,Yanam,2009-01-07,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-08,2009,1,0.158596412,IMD GRID MODEL
Puducherry,Yanam,2009-01-08,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-08,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-08,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-09,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-09,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-09,2009,1,0.125721038,IMD GRID MODEL
Puducherry,Mahe,2009-01-09,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-10,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-10,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-10,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-10,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-11,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-11,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-11,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-11,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-12,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-12,2009,1,0.033208675,IMD GRID MODEL
Puducherry,Mahe,2009-01-12,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-12,2009,1,2.010994293,IMD GRID MODEL
Puducherry,Karaikal,2009-01-13,2009,1,8.426119082,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-13,2009,1,0.580733248,IMD GRID MODEL
Puducherry,Yanam,2009-01-13,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-13,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-14,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-14,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-14,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-14,2009,1,0.69255405,IMD GRID MODEL
Puducherry,Karaikal,2009-01-15,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-15,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-15,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-15,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-16,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-16,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-16,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-16,2009,1,0.163858479,IMD GRID MODEL
Puducherry,Yanam,2009-01-17,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-17,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-17,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-17,2009,1,0.163858479,IMD GRID MODEL
Puducherry,Mahe,2009-01-18,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-18,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-18,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-18,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-19,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-19,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-19,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-19,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-20,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-20,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-20,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-20,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-21,2009,1,0.0,IMD GRID MODEL
Puducherry,Mahe,2009-01-21,2009,1,0.0,IMD GRID MODEL
Puducherry,Pondicherry,2009-01-21,2009,1,0.0,IMD GRID MODEL
Puducherry,Karaikal,2009-01-21,2009,1,0.0,IMD GRID MODEL
Puducherry,Yanam,2009-01-22,2009,1,0.0,IMD GRID MODEL
