State,District,Date,Year,Month,Avg_rainfall,Agency_name
Sikkim,North District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-01,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-02,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-03,2009,1,7.018925034,IMD GRID MODEL
Sikkim,East District,2009-01-03,2009,1,1.939134344,IMD GRID MODEL
Sikkim,South District,2009-01-03,2009,1,2.582216002,IMD GRID MODEL
Sikkim,North District,2009-01-03,2009,1,7.018925034,IMD GRID MODEL
Sikkim,West District,2009-01-03,2009,1,3.686024596,IMD GRID MODEL
Sikkim,West District,2009-01-03,2009,1,3.686024596,IMD GRID MODEL
Sikkim,South District,2009-01-03,2009,1,2.582216002,IMD GRID MODEL
Sikkim,East District,2009-01-03,2009,1,1.939134344,IMD GRID MODEL
Sikkim,North District,2009-01-04,2009,1,0.318678888,IMD GRID MODEL
Sikkim,West District,2009-01-04,2009,1,0.643998462,IMD GRID MODEL
Sikkim,North District,2009-01-04,2009,1,0.318678888,IMD GRID MODEL
Sikkim,East District,2009-01-04,2009,1,0.404049728,IMD GRID MODEL
Sikkim,West District,2009-01-04,2009,1,0.643998462,IMD GRID MODEL
Sikkim,South District,2009-01-04,2009,1,0.547453219,IMD GRID MODEL
Sikkim,South District,2009-01-04,2009,1,0.547453219,IMD GRID MODEL
Sikkim,East District,2009-01-04,2009,1,0.404049728,IMD GRID MODEL
Sikkim,West District,2009-01-05,2009,1,0.279967669,IMD GRID MODEL
Sikkim,South District,2009-01-05,2009,1,0.254982738,IMD GRID MODEL
Sikkim,North District,2009-01-05,2009,1,0.075801216,IMD GRID MODEL
Sikkim,North District,2009-01-05,2009,1,0.075801216,IMD GRID MODEL
Sikkim,South District,2009-01-05,2009,1,0.254982738,IMD GRID MODEL
Sikkim,East District,2009-01-05,2009,1,0.25490701,IMD GRID MODEL
Sikkim,West District,2009-01-05,2009,1,0.279967669,IMD GRID MODEL
Sikkim,East District,2009-01-05,2009,1,0.25490701,IMD GRID MODEL
Sikkim,South District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-06,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-07,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-08,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-09,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-10,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-11,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-12,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-13,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-14,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-15,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-16,2009,1,0.034634605,IMD GRID MODEL
Sikkim,West District,2009-01-16,2009,1,0.298708537,IMD GRID MODEL
Sikkim,South District,2009-01-16,2009,1,0.264296725,IMD GRID MODEL
Sikkim,East District,2009-01-16,2009,1,0.034634605,IMD GRID MODEL
Sikkim,North District,2009-01-16,2009,1,0.138192799,IMD GRID MODEL
Sikkim,North District,2009-01-16,2009,1,0.138192799,IMD GRID MODEL
Sikkim,South District,2009-01-16,2009,1,0.264296725,IMD GRID MODEL
Sikkim,West District,2009-01-16,2009,1,0.298708537,IMD GRID MODEL
Sikkim,South District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-17,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-18,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-19,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-20,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,East District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,West District,2009-01-21,2009,1,0.0,IMD GRID MODEL
Sikkim,North District,2009-01-22,2009,1,0.0,IMD GRID MODEL
Sikkim,South District,2009-01-22,2009,1,0.0,IMD GRID MODEL
