State,Date,Month,Year,Average
Jammu & Kashmir,2009-01-01,1,2009,0.0
Jammu & Kashmir,2009-01-02,1,2009,4.619621036045455
Jammu & Kashmir,2009-01-03,1,2009,0.9498305525454545
Jammu & Kashmir,2009-01-04,1,2009,0.024769399090909094
Jammu & Kashmir,2009-01-05,1,2009,7.967911995318182
Jammu & Kashmir,2009-01-06,1,2009,3.863807590181818
Jammu & Kashmir,2009-01-07,1,2009,0.03058954890909091
Jammu & Kashmir,2009-01-08,1,2009,2.8348362276818184
Jammu & Kashmir,2009-01-09,1,2009,0.8227921884090909
Jammu & Kashmir,2009-01-10,1,2009,0.0
Jammu & Kashmir,2009-01-11,1,2009,0.0
Jammu & Kashmir,2009-01-12,1,2009,0.0
Jammu & Kashmir,2009-01-13,1,2009,0.0
Jammu & Kashmir,2009-01-14,1,2009,11.381861490090909
Jammu & Kashmir,2009-01-15,1,2009,22.02259738927273
Jammu & Kashmir,2009-01-16,1,2009,9.409377712500001
Jammu & Kashmir,2009-01-17,1,2009,28.350720364999997
Jammu & Kashmir,2009-01-18,1,2009,0.019335163227272727
Jammu & Kashmir,2009-01-19,1,2009,0.0
Jammu & Kashmir,2009-01-20,1,2009,0.0
Jammu & Kashmir,2009-01-21,1,2009,0.12100554395454545
Jammu & Kashmir,2009-01-22,1,2009,0.0
Jammu & Kashmir,2009-01-23,1,2009,2.2825997229090906
Jammu & Kashmir,2009-01-24,1,2009,15.088776747590911
Jammu & Kashmir,2009-01-25,1,2009,19.745363892136364
Jammu & Kashmir,2009-01-26,1,2009,1.102425722318182
Jammu & Kashmir,2009-01-27,1,2009,0.0
Jammu & Kashmir,2009-01-28,1,2009,0.0
Jammu & Kashmir,2009-01-29,1,2009,0.0
Jammu & Kashmir,2009-01-30,1,2009,0.0
Jammu & Kashmir,2009-01-31,1,2009,0.0
Jammu & Kashmir,2009-02-01,2,2009,0.0
Jammu & Kashmir,2009-02-02,2,2009,4.619621036045455
Jammu & Kashmir,2009-02-03,2,2009,0.9498305525454545
Jammu & Kashmir,2009-02-04,2,2009,0.024769399090909094
Jammu & Kashmir,2009-02-05,2,2009,7.967911995318182
Jammu & Kashmir,2009-02-06,2,2009,3.863807590181818
Jammu & Kashmir,2009-02-07,2,2009,0.03058954890909091
Jammu & Kashmir,2009-02-08,2,2009,2.834836227681818
Jammu & Kashmir,2009-02-09,2,2009,0.8227921884090909
Jammu & Kashmir,2009-02-10,2,2009,0.0
Jammu & Kashmir,2009-02-11,2,2009,0.0
Jammu & Kashmir,2009-02-12,2,2009,0.0
Jammu & Kashmir,2009-02-13,2,2009,0.0
Jammu & Kashmir,2009-02-14,2,2009,11.381861490090909
Jammu & Kashmir,2009-02-15,2,2009,22.02259738927273
Jammu & Kashmir,2009-02-16,2,2009,9.409377712500001
Jammu & Kashmir,2009-02-17,2,2009,28.350720364999997
Jammu & Kashmir,2009-02-18,2,2009,0.019335163227272724
Jammu & Kashmir,2009-02-19,2,2009,0.0
Jammu & Kashmir,2009-02-20,2,2009,0.0
Jammu & Kashmir,2009-02-21,2,2009,0.12100554395454545
Jammu & Kashmir,2009-02-22,2,2009,0.0
Jammu & Kashmir,2009-02-23,2,2009,2.2825997229090906
Jammu & Kashmir,2009-02-24,2,2009,15.088776747590911
Jammu & Kashmir,2009-02-25,2,2009,19.745363892136364
Jammu & Kashmir,2009-02-26,2,2009,1.102425722318182
Jammu & Kashmir,2009-02-27,2,2009,0.0
