State,Date,Month,Year,Average
Jammu & Kashmir,2009-01-01,1,2009,0.0
Jammu & Kashmir,2009-01-02,1,2009,101.631662793
Jammu & Kashmir,2009-01-03,1,2009,20.896272156
Jammu & Kashmir,2009-01-04,1,2009,0.5449267799999999
Jammu & Kashmir,2009-01-05,1,2009,175.294063897
Jammu & Kashmir,2009-01-06,1,2009,85.003766984
Jammu & Kashmir,2009-01-07,1,2009,0.672970076
Jammu & Kashmir,2009-01-08,1,2009,62.366397009
Jammu & Kashmir,2009-01-09,1,2009,18.101428145
Jammu & Kashmir,2009-01-10,1,2009,0.0
Jammu & Kashmir,2009-01-11,1,2009,0.0
Jammu & Kashmir,2009-01-12,1,2009,0.0
Jammu & Kashmir,2009-01-13,1,2009,0.0
Jammu & Kashmir,2009-01-14,1,2009,250.400952782
Jammu & Kashmir,2009-01-15,1,2009,484.497142564
Jammu & Kashmir,2009-01-16,1,2009,207.00630967499998
Jammu & Kashmir,2009-01-17,1,2009,623.71584803
Jammu & Kashmir,2009-01-18,1,2009,0.425373591
Jammu & Kashmir,2009-01-19,1,2009,0.0
Jammu & Kashmir,2009-01-20,1,2009,0.0
Jammu & Kashmir,2009-01-21,1,2009,2.662121967
Jammu & Kashmir,2009-01-22,1,2009,0.0
Jammu & Kashmir,2009-01-23,1,2009,50.217193904
Jammu & Kashmir,2009-01-24,1,2009,331.953088447
Jammu & Kashmir,2009-01-25,1,2009,434.398005627
Jammu & Kashmir,2009-01-26,1,2009,24.253365891
Jammu & Kashmir,2009-01-27,1,2009,0.0
Jammu & Kashmir,2009-01-28,1,2009,0.0
Jammu & Kashmir,2009-01-29,1,2009,0.0
Jammu & Kashmir,2009-01-30,1,2009,0.0
Jammu & Kashmir,2009-01-31,1,2009,0.0
Jammu & Kashmir,2009-02-01,2,2009,0.0
Jammu & Kashmir,2009-02-02,2,2009,101.631662793
Jammu & Kashmir,2009-02-03,2,2009,20.896272156
Jammu & Kashmir,2009-02-04,2,2009,0.5449267799999999
Jammu & Kashmir,2009-02-05,2,2009,175.294063897
Jammu & Kashmir,2009-02-06,2,2009,85.003766984
